paper_url,paper_name,paper_year,Abstract,Keywords,PMID
https://www.ncbi.nlm.nih.gov/pubmed/41115009,Centipede-Mimetic DNA Nanomachines with Circular Sensing Modules for Spatial Monitoring of Extracellular Metabolites.,2025,"Dynamic monitoring of small-molecule metabolites in extracellular microenvironments is crucial for deciphering their roles as pathological regulators in disease progression. Despite their promise, DNA-based nanosensors remain constrained by insufficient sensitivity, structural instability, and poor signal output thresholds in spatially resolved extracellular biomarker imaging. Herein, we report a centipede-mimetic DNA nanomachine (CMNM) featuring (1) topologically engineered circular sensing modules that enhance nuclease stability and target recognition sensitivity and (2) a multibranched DNA nanowire scaffold with a morphology like a centipede, self-assembled by membrane-anchoring aptamers, enabling high-density sensor confinement at living cell surfaces via multivalent interactions. By reprogramming the recognition domains of the circular sensing modules, the CMNM enables spatial imaging of extracellular ATP and H<sup>+</sup> in tumor cell environments and, notably, achieves the first DNA nanodevice-based visualization of extracellular lactate. This biomimetic and modular design strategy offers a versatile platform for expanding to a broader range of metabolic targets, paving the way for mechanistic studies of metabolic diseases and the development of precision diagnostic and therapeutic tools.",,41115009
https://www.ncbi.nlm.nih.gov/pubmed/41115004,Impact of tumor burden on immune checkpoint and conventional therapy responses and outcomes.,2025,"Tumor burden may have opposing influences on immunotherapy outcomes by enhancing neoantigen load or imposing barriers to immune responses. Whether tumor burden is a specific determinant of immunotherapy benefit or a general prognostic factor irrespective of drug mechanism remains ambiguous. We performed a post-hoc individual patient-level data analysis of 8 prospective trials including patients with non-small cell lung cancer (NSCLC), hepatocellular carcinoma (HCC), bladder cancer, and renal cell carcinoma (RCC) to determine the association between tumor burden and immunotherapy and conventional therapy efficacy. Objective response rates were higher among patients with low tumor burden patients treated with either atezolizumab or conventional therapies. Low tumor burden was also associated with improved progression-free survival in most cancer types and overall survival in all cancer types irrespective of treatment class. Tumor burden effects were dose-dependent across cancer types. An exception to this was in HCC where sorafenib treatment was uniquely associated with improved anti-tumor effects in high tumor burden cancers. Comparisons of outcomes within tumor burden strata showed that atezolizumab is superior to conventional therapy in improving OS but not PFS in both high and low tumor burden patients compared to conventional therapies in NSCLC, HCC, and bladder cancer. These findings demonstrate that tumor burden is a histology agnostic and dose-related prognostic factor rather than an immunotherapy specific predictive biomarker. Cross-treatment analyses suggest that surrogate endpoints may inadequately account for the detrimental impact of tumor burden, with implications for non-randomized studies and early phase trials particularly where variations in tumor burden exist in the underlying population.",,41115004
https://www.ncbi.nlm.nih.gov/pubmed/41115001,A Digital Direct-to-Patient Intervention Shows Promise to Improve Lung Cancer Screening Rates: Multilevel Strategies Remain Essential.,2025,,,41115001
https://www.ncbi.nlm.nih.gov/pubmed/41114999,Effectiveness of Colchicine for the Treatment of Long COVID: A Randomized Clinical Trial.,2025,"Long COVID is characterized by persistent symptoms after SARS-CoV-2 infection, with inflammation playing a key role in pathogenesis. Colchicine, an established anti-inflammatory agent, may reduce these symptoms by targeting inflammatory pathways. To evaluate the superiority of colchicine over placebo in improving functional outcome at 52 weeks from baseline. This double-blind, 1:1 randomized clinical trial recruited participants with confirmed SARS-CoV-2 infection and persistent symptoms from 8 hospitals in 6 states in India between January 2022 and July 2023. Individuals were eligible if they had functional limitation (Post-COVID-19 Functional Status scale grade 2 or more) and/or elevated inflammatory markers (high-sensitivity C-reactive protein >0.20 mg/dL and/or neutrophil to lymphocyte ratio >5). Outcomes were assessed at 12, 26, and 52 weeks after randomization. Data were analyzed from January to February 2025. Participants were randomly assigned to receive colchicine, 0.5 mg, once or twice daily, based on body weight, or placebo for 26 weeks. The primary outcome was the change in distance walked during a 6-minute walk test from baseline to 52 weeks. Secondary outcomes included changes in inflammatory markers and patient-reported outcome measures, such as quality of life, anxiety, depression, fatigue, dyspnea, measured using validated instruments. Of 346 participants included in the modified intention-to-treat analysis, 209 (60.4%) were female, 137 (39.6%) were male, and the mean (SD) age was 46 (12) years. At 52 weeks, there was no difference in mean (SD) change in 6-minute walk test distance between the colchicine and placebo groups (colchicine, 35.5 [19.76] m; placebo, 29.96 [19.83] m; mean difference, 5.59 m; 95% CI, -9.00 to 20.18; P = .45). Similar null findings were seen across all predefined outcomes, except for a small, nonclinically relevant difference in the mean (SD) ratio of forced expiratory volume in 1 second to forced vital capacity (colchicine, -0.02 [0.03]; placebo, -0.06 [0.03]; mean difference, 0.04; 95% CI, 0.02 to 0.07; P = .001). In this randomized clinical trial, among adults with long COVID, colchicine did not improve functional capacity, respiratory function, or inflammatory markers. These findings underscore the need to explore alternative therapeutic approaches for long COVID. Clinical Trial Registry of India: CTRI/2021/11/038234.",,41114999
https://www.ncbi.nlm.nih.gov/pubmed/41114994,A Direct-to-Patient Digital Health Program for Lung Cancer Screening: Research Summary.,2025,,,41114994
https://www.ncbi.nlm.nih.gov/pubmed/41114992,Voucher for Healthy Foods and Diabetes Control: A Randomized Clinical Trial.,2025,"Programs to improve access to healthy foods for people with diabetes exist in some jurisdictions but not others, and their effects on disease control are not established. To measure the effect of a monthly grocery store voucher that allows access to healthy foods on diabetes control in patients experiencing food insecurity. This randomized parallel-arm clinical trial was conducted from March 21, 2023, to April 1, 2025, at 7 sites in Toronto, Canada. Patients were randomly allocated to a monthly voucher or usual access to healthy foods. Eligibility required hemoglobin A1c (HbA1c) levels from 6.0% to 11% and food insecurity. Data analysis was conducted in May 2025. A $65 monthly voucher ($85 for those in households with 6 or more individuals) for 6 months. The primary outcome was change in HbA1c levels from baseline to 6 months. Secondary outcomes included levels of β-carotene and ascorbic acid, self-reported fruit and vegetable consumption, financial security, food security, and general health. Of 1061 patients approached, 390 were enrolled (mean [SD] age, 60 [13] years; 191 [49%] men, 198 [51%] women); 81 (21%) identified as Black, 93 (24%) identified as South Asian, and 105 (27%) identified as White. Overall, 194 (50%) were randomly allocated to receive the voucher and 196 (50%) to control. The nonsignificant mean difference between voucher and control in the change in HbA1c was -0.18% (95% CI, -0.41 to 0.05; P = .13; mean difference adjusted for baseline HbA1c, age, sex, household size, and condition, -0.10%; 95% CI, -0.33 to 0.12; P = .35). The voucher improved self-reported vegetable consumption (44.7% vs 21.5% 2 or more times per day), fruit consumption (42.6% vs 22.7% 2 or more times per day), food insecurity (risk difference, -0.10; 95% CI, -0.18 to -0.02), and general health (odds ratio, 1.6; 95% CI, 1.1-2.3) but not financial insecurity (risk difference, -0.07; 95% CI, -0.16 to 0.02) or β-carotene level (mean difference, 0.01 µmol/L; 95% CI, -0.08 to 0.06) and ascorbic acid level (mean difference, -0.18 µmol/L; 95% CI, -4.3 to 4.7). In this randomized clinical trial, a monthly food voucher did not have an effect on HbA1c control or objective measures of diet quality but the voucher did increase self-reported vegetable and fruit consumption. ClinicalTrials.gov Identifier: NCT05776420.",,41114992
https://www.ncbi.nlm.nih.gov/pubmed/41114991,Lung Cancer in Nonsmoking Individuals: A Review.,2025,"Lung cancer in nonsmoking individuals (defined as people who have smoked fewer than 100 cigarettes in their lifetime) accounts for 15% to 20% of all lung cancer cases worldwide. In the US, the annual incidence of lung cancer in nonsmoking individuals is 14.4 to 20.8 per 100 000 person-years in females and 4.8 to 12.7 per 100 000 person-years in males. Most lung cancers in nonsmoking individuals are histologically adenocarcinomas (60%-80%) with the remainder being squamous or adenosquamous (10%-20%) and rarely small cell lung cancer (<10%). Risk factors include exposure to passive smoking, radon exposure, air pollution, asbestos, and history of lung cancer in a first-degree family member. Therapeutically targetable genomic variants, such as EGFR mutations or ALK gene rearrangements, are more common in tumors from nonsmoking individuals compared with those with a smoking history (defined as people who currently or formerly smoked) (43% vs 11% for EGFR and 12% vs 2% for ALK). In contrast, tumor mutation burden, the number of somatic mutations in a tumor cell, is lower in lung cancer among nonsmoking individuals (0-3 mutations/megabase [Mb] vs 0-30 mutations/Mb). Similar to individuals with a history of smoking, nonsmoking individuals with lung cancer may present with wheeze, chest pain, dyspnea, hemoptysis, or symptoms attributable to metastatic disease (eg, bone pain and headache) or be diagnosed with incidentally detected disease. The US Preventive Services Task Force does not currently recommend lung cancer screening with low-dose computed tomographic scans for nonsmoking individuals, although screening guidelines vary globally. Treatment typically involves a combination of surgery, radiotherapy, and systemic therapies depending on stage, performance status, and molecular features of the tumor. Comprehensive next-generation sequencing should be performed on stage Ib to IIIa lung cancer tumor tissue from nonsmoking individuals because actionable genomic alterations, such as EGFR mutations or ALK gene rearrangements, are treated with targeted therapy such as the tyrosine kinase inhibitors osimertinib or lorlatinib, respectively. Median survival among nonsmoking individuals with advanced non-small cell lung cancer (stage IIIb or higher) and actionable genomic alterations can exceed 3 to 5 years, while survival without these genomic alterations is similar to lung cancer in people with a history of smoking (1-2 years). Lung cancer in nonsmoking individuals accounts for 15% to 20% of lung cancer cases worldwide. Among patients with lung cancer, nonsmoking individuals are more likely to have genomic alterations such as EGFR mutations or ALK gene rearrangements, and these patients have improved survival when treated with tyrosine kinase inhibitors compared with chemotherapy.",,41114991
https://www.ncbi.nlm.nih.gov/pubmed/41114984,Transcutaneous Peripheral Nerve Stimulation for Essential Tremor: A Randomized Clinical Trial.,2025,"Essential tremor (ET) is the most common form of arm tremor. Transcutaneous peripheral nerve stimulation (TPNS) can modulate the central tremor-generating network. To investigate whether an artificial intelligence (AI)-driven TPNS device is superior to a sham device in reducing ET. A randomized clinical trial was conducted from February 7 through August 9, 2024, in 12 outpatient neurology clinics in the United States and China. Participants were adults with upper-extremity tremor and a clinical diagnosis of ET, a tremor severity score of 2 or higher on 1 of the Essential Tremor Rating Assessment Scale (TETRAS) performance subscale tasks, a total performance subscale score of at least 7, and familiarity with operating a smartphone and connecting to Wi-Fi at home. They were randomized 2:1 to receive active TPNS or sham stimulation, stratified by use of ET medications and tremor severity. After the devices were fitted, the participants were instructed to use them during waking hours for 90 days. A wearable neuromodulation device that stimulates the radial, median, and ulnar nerves and uses AI to continuously adjust stimulation settings in real time. The primary outcome was change in daily activities as measured by the modified Activities of Daily Living (mADL) subscale of TETRAS at 90 days in the intention-to-treat population. Of 133 screened, 125 were randomized to receive TPNS (n = 83) or sham (n = 42) treatment. The mean (SD) age was 64.9 (13.1) years, 62 (49.6%) were female and 63 (50.4%) male, and the mean (SD) tremor duration was 11.4 (13.1) years. At 90 days, the mADL score was reduced by 6.9 points (95% CI, 5.4-8.4) in the TPNS group vs 2.7 points (95% CI, 1.3-4.0) in the sham group (P < .001). Skin irritation, the most common device-related adverse event, occurred in 28 of 83 participants (33.7%) in the TPNS group and 2 of 42 (4.8%) in the sham group. Nausea, arthralgia, worsening of existing arthritis in the thumb, muscular weakness, and involuntary muscle contractions each occurred in 1 participant, all in the TPNS group. The TPNS device improved activities related to upper limb tremor at 90 days and could be an effective noninvasive ET treatment. ClinicalTrials.gov Identifier: NCT06235190.",,41114984
https://www.ncbi.nlm.nih.gov/pubmed/41114978,Faith-Based Lifestyle Intervention for Diabetes Prevention Among Adults in Bangladesh: A Cluster Randomized Clinical Trial.,2025,"The incidence of type 2 diabetes (T2D) is increasing in low- and middle-income countries. Effective, culturally tailored interventions are needed for diabetes prevention. To evaluate the effectiveness of a 12-month, mosque-based, faith-integrated lifestyle intervention in reducing T2D incidence among adults with prediabetes in rural Bangladesh. This parallel-group, cluster randomized clinical trial (RCT) was conducted from April 2022 to April 2023 across 8 rural mosque clusters in 5 districts of Bangladesh, with a 12-month follow-up. Adults (aged 25-65 years) were screened using a validated diabetes risk score. Individuals with high risk scores underwent oral glucose tolerance testing, and those with prediabetes (fasting blood glucose of 6.1-6.9 mmol/L, 2-hour blood glucose of 7.8-11.0 mmol/L [to convert to milligrams per deciliter, multiply by 18], or both, according to World Health Organization criteria) were included in this trial. Participants were randomized (1:1) by mosque cluster to the intervention or the control. After baseline assessments, participants who completed the 12-month follow-up were included in the intention-to-treat analysis. The intervention group attended monthly mosque-based sessions integrating Islamic teachings with structured guidance on diet, physical activity, and behavior modification delivered by imams and trained female assistants. The control group received usual care (standard health advice including a health leaflet and referral to local health services) at enrollment. The primary outcome was the 12-month cumulative incidence of T2D. Secondary outcomes included changes in weight, body mass index (BMI), glycemic markers, lipid profiles, blood pressure, diabetes-related knowledge, physical activity, and quality of life. Of the 799 participants (mean [SD] age, 46.2 [11.6] years; 424 women [53.1%]) randomized, 641 completed the 12-month follow-up and were included in the intention-to-treat analysis: 341 (n = 4 mosques) in the intervention group and 300 (n = 4 mosques) in the control group. The intervention group had a significantly lower 12-month cumulative T2D incidence (9.8% [95% CI, 7.1%-13.5%]) vs the control group (17.1% [95% CI, 13.4%-21.6%]), with an absolute risk reduction of 7.3 percentage points (95% CI, 5.2-10.6 percentage points), a relative risk reduction of 42.5% (95% CI, 15.0%-70.0%), and a number needed to treat of 14 (95% CI, 9-39). In Cox proportional hazards regression adjusted for clustering, the hazard ratio was 0.75 (95% CI, 0.60-0.95; P = .02), corresponding to a 25.0% reduction in diabetes risk. Secondary outcomes including weight, BMI, fasting glucose, 2-hour blood glucose, hemoglobin A1c, lipid profiles, diabetes-related knowledge, physical activity, and quality of life also improved significantly more in the intervention group compared with the control group. In this cluster RCT involving adults with prediabetes, a culturally adapted, mosque-based lifestyle intervention significantly reduced T2D incidence over 12 months in rural Bangladesh. These results demonstrate the potential for scalable and cost-effective diabetes prevention programs in low-resource, Muslim-majority communities. ISRCTN Registry Identifier: ISRCTN91564707.","Humans, Bangladesh, Female, Male, Diabetes Mellitus, Type 2, Middle Aged, Adult, Prediabetic State, Life Style, Aged, Rural Population, Islam, Exercise",41114978
https://www.ncbi.nlm.nih.gov/pubmed/41114977,Genetic Liabilities to Neuropsychiatric Conditions in Suicide Deaths With No Prior Suicidality.,2025,"Although suicide attempt is the most robust estimator of suicide death, few individuals who attempt it go on to die by suicide (<10%), and approximately 50% of suicide deaths occur in the absence of evidence of prior attempts. The risks are particularly poorly understood in this group. To study underlying polygenic liabilities among suicide deaths without evidence of prior nonfatal suicidality (SD-N) compared with suicide deaths with prior suicidality (SD-S), testing prior results showing significantly lower clinical risks of neuropsychiatric traits in SD-N vs SD-S. In this cohort study, polygenic scores (PGS) were computed using summary statistics from 12 published source studies, then compared across SD-N and SD-S groups taken from the Utah Suicide Mortality Research Study (cases accrued between December 1998 and October 2022). PGS from the suicide death cohorts were also compared to unselected population controls. Evidence of prior suicidality was determined from diagnoses and clinical notes. Cohort differences in PGS reflecting neuropsychiatric conditions were tested using analysis of covariance, adjusting for sex, age, and genetic ancestry, followed by additional analyses within sex and within subgroups defined by age at death (50 years or younger vs older than 50 years). PGS spanned 12 neuropsychiatric conditions. Data were analyzed between July 2024 and July 2025. The SD-N cohort (n = 1337) had significantly more male suicide deaths (1105 [82.65%] vs 974 [67.95%]), with an older mean (SD) age at death (47.5 [18.9] vs 41.4 [15.6] years) than the SD-S cohort (n = 1432). The control cohort (n = 19 499) had significantly fewer males (8597 [44.09%]) than both suicide death subsets. Genetic ancestry was similar across the SD-N and SD-S groups (96.77% and 96.81% European ancestry), and control (97.38% European ancestry) groups. Socioeconomic status was not significantly different across suicide cohorts adjusted for age and sex (occupation ranking SD-N mean [SD], 57.16 [24.54]; SD-S mean [SD], 54.72 [25.29]; t = 1.30; P = .70; maximum education SD-N mean [SD], 2.70 [1.12]; SD-S mean [SD], 2.67 [1.13]; Fisher exact test P = .38). Comparing SD-N to SD-S revealed significantly lower (false discovery rate P < .05) PGS in the SD-N group for major depressive disorder (adjusted mean difference, 0.085 [95% CI, 0.018-0.152]; P = .01), depressed affect (adjusted mean difference, 0.081 [95% CI, 0.012-0.149]; P = .02), anxiety (adjusted mean difference, 0.091 [95% CI, 0.021-0.161]; P = .01), neuroticism (adjusted mean difference, 0.102 [95% CI, 0.033-0.171]; P = .004), and Alzheimer disease (adjusted mean difference, 0.090 [95% CI, 0.021-0.1658]; P = .01), and lower (false discovery rate P < .10) PGS in SD-N for posttraumatic stress disorder (adjusted mean difference, 0.070 [95% CI, 0.001-0.139]; P = .04). Of note, SD-N PGS were not significantly different from controls for depressed affect (adjusted mean difference, 0.037 [95% CI, -0.019 to 0.093]), neuroticism (adjusted mean difference, -0.001 [95% CI, -0.057 to 0.055]), or Alzheimer disease (adjusted mean difference, -0.027 [95% CI, -0.083 to 0.029]). In this cohort study, SD-N showed significantly different genetic liabilities to neuropsychiatric conditions from SD-S. Results have implications for future suicide research and prevention for persons at risk of mortality.","Humans, Male, Female, Middle Aged, Adult, Utah, Suicide, Cohort Studies, Mental Disorders, Suicide, Completed, Risk Factors, Genetic Predisposition to Disease, Aged, Suicide, Attempted, Multifactorial Inheritance",41114977
